Species,MajorAxisLength,MinorAxisLength
Seker,221.0,197.0
Seker,254.0,181.0
Seker,245.0,191.0
Seker,239.0,200.0
Seker,255.0,191.0
Seker,248.0,201.0
Seker,257.0,195.0
Seker,252.0,199.0
Seker,251.0,212.0
Seker,280.0,191.0
Seker,262.0,214.0
Seker,271.0,207.0
Seker,266.0,212.0
Seker,292.0,195.0
Seker,256.0,225.0
Seker,276.0,211.0
Barbunya,328.0,199.0
Barbunya,316.0,212.0
Barbunya,387.0,232.0
Barbunya,353.0,260.0
Barbunya,366.0,251.0
Barbunya,378.0,244.0
Barbunya,397.0,233.0
Barbunya,376.0,250.0
Barbunya,381.0,254.0
Barbunya,386.0,254.0
Barbunya,394.0,249.0
Barbunya,411.0,254.0
Barbunya,413.0,266.0
Barbunya,428.0,270.0
Horoz,338.0,172.0
Horoz,351.0,168.0
Horoz,348.0,174.0
Horoz,368.0,182.0
Horoz,390.0,176.0
Horoz,375.0,183.0
Horoz,382.0,181.0
Horoz,389.0,178.0
Horoz,373.0,186.0
Horoz,382.0,192.0
Horoz,403.0,182.0
Horoz,395.0,190.0
Horoz,387.0,196.0
Horoz,388.0,197.0
Horoz,392.0,199.0
Horoz,411.0,199.0
Horoz,412.0,201.0
Horoz,405.0,203.0
Horoz,428.0,198.0
Dermason,204.0,142.0
Dermason,201.0,148.0
Dermason,226.0,143.0
Dermason,211.0,153.0
Dermason,214.0,153.0
Dermason,230.0,147.0
Dermason,224.0,152.0
Dermason,239.0,145.0
Dermason,232.0,152.0
Dermason,218.0,163.0
Dermason,216.0,165.0
Dermason,232.0,155.0
Dermason,227.0,165.0
Dermason,234.0,161.0
Dermason,239.0,158.0
Dermason,235.0,161.0
Dermason,240.0,159.0
Dermason,243.0,156.0
Dermason,246.0,155.0
Dermason,231.0,167.0
Dermason,244.0,159.0
Dermason,246.0,158.0
Dermason,251.0,157.0
Dermason,250.0,157.0
Dermason,238.0,166.0
Dermason,255.0,157.0
Dermason,256.0,158.0
Dermason,260.0,160.0
Dermason,240.0,174.0
Dermason,244.0,172.0
Dermason,250.0,171.0
Dermason,253.0,168.0
Dermason,249.0,171.0
Dermason,263.0,161.0
Dermason,246.0,173.0
Dermason,266.0,162.0
Dermason,256.0,169.0
Dermason,258.0,173.0
Dermason,248.0,180.0
Dermason,256.0,179.0
Dermason,273.0,168.0
Dermason,247.0,188.0
Dermason,255.0,183.0
Dermason,273.0,173.0
Dermason,254.0,189.0
Dermason,274.0,175.0
Dermason,265.0,187.0
Dermason,255.0,195.0
Dermason,270.0,192.0
Dermason,282.0,184.0
Dermason,285.0,183.0
